"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: lockType"
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","thrpt",32,5,16905.092979,469.352526,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","thrpt",32,5,0.022103,0.006762,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","thrpt",32,5,66377.045962,28207.387565,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","thrpt",32,5,66741.693123,69558.904833,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","thrpt",32,5,0.022071,0.009183,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","thrpt",32,5,17567.622315,352.696779,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","thrpt",32,5,0.020992,0.005545,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","thrpt",32,5,126292.252611,65462.361231,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","thrpt",32,5,130794.348492,98643.569538,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","thrpt",32,5,0.021749,0.005746,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","avgt",32,5,0.001781,0.000067,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","avgt",32,5,1496.477728,167.110030,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","avgt",32,5,146.473903,591.307442,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","avgt",32,5,336.375420,1360.652716,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.multiVar","avgt",32,5,1453.014937,377.271760,"ms/op",TICKET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","avgt",32,5,0.001824,0.000040,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","avgt",32,5,1501.229856,393.629571,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","avgt",32,5,158.599923,928.548207,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","avgt",32,5,153.114726,680.194816,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.fadd.FaddBenchmark.singleVar","avgt",32,5,1480.395890,182.746570,"ms/op",TICKET
