"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: lockType"
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",4,5,23593.652909,436.411770,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",4,5,0.177493,0.041725,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",4,5,8841.198393,215.334853,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",4,5,9282.341452,693.907344,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","thrpt",4,5,0.169111,0.015436,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",4,5,0.000176,0.000004,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",4,5,22.941653,3.327647,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",4,5,0.000469,0.000030,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",4,5,0.000267,0.000029,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.latency.LatencyBenchmark.bench","avgt",4,5,20.213024,29.999683,"ms/op",TICKET
