"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: lockType"
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","thrpt",16,5,5795.826545,105.092230,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","thrpt",16,5,0.043469,0.007482,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","thrpt",16,5,18619.303535,26019.408394,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","thrpt",16,5,13246.873096,15245.738163,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","thrpt",16,5,0.041998,0.008735,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","thrpt",16,5,1328.431625,67.460160,"ops/ms",REENTRANT
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","thrpt",16,5,0.042628,0.014174,"ops/ms",MCS
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","thrpt",16,5,11584.666081,3452.820059,"ops/ms",TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","thrpt",16,5,10613.866569,13377.858009,"ops/ms",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","thrpt",16,5,0.041588,0.007932,"ops/ms",TICKET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","avgt",16,5,0.002686,0.000098,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","avgt",16,5,381.626024,62.801645,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","avgt",16,5,371.087698,1319.564657,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","avgt",16,5,244.694290,1305.099210,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.hash","avgt",16,5,372.946642,79.648618,"ms/op",TICKET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","avgt",16,5,0.012000,0.000316,"ms/op",REENTRANT
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","avgt",16,5,376.014685,121.096200,"ms/op",MCS
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","avgt",16,5,462.059984,1207.546895,"ms/op",TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","avgt",16,5,1748.514007,8072.170069,"ms/op",TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.keyvalue.MapBenchmark.ordered","avgt",16,5,396.348383,40.150082,"ms/op",TICKET
