"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: afterSectionMatrixSize","Param: inSectionMatrixSize","Param: lockType"
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",8,5,4.322321,0.026040,"ops/ms",10,50,REENTRANT
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",8,5,0.077649,0.012741,"ops/ms",10,50,MCS
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",8,5,11.094890,22.384985,"ops/ms",10,50,TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",8,5,15.510013,18.620799,"ops/ms",10,50,TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","thrpt",8,5,0.079490,0.008965,"ops/ms",10,50,TICKET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",8,5,2.015113,0.018584,"ms/op",10,50,REENTRANT
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",8,5,97.207751,12.228505,"ms/op",10,50,MCS
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",8,5,1977.307197,11213.349095,"ms/op",10,50,TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",8,5,3357.458309,14497.868229,"ms/op",10,50,TEST_TEST_SET
"ru.ricnorr.locks.numa.jmh.matrix.MatrixMultiplicationBenchmark.matrixMultiplication","avgt",8,5,97.703666,17.253791,"ms/op",10,50,TICKET
